word_2018,count
gobier,2
posrevolucionarios,1
incapacidad,2
remplazarlo,1
nuevo,12
pacto,6
prueba,1
facciones,1
ejercieron,1
lapso,1
pudie,1
ron,3
dotarse,1
nueva,14
documen,1
to,10
plasma,1
hubieron,1
recurrir,2
reformas,3
adulteraron,1
mucho,7
espíritu,3
pudieron,1
definitiva,1
suprimir,1
totalidad,1
circunstancias,4
sucedieron,1
recurrieron,2
simulación,3
generalizada,4
sucedáneo,1
cumpli,1
miento,3
efectivo,3
suprema,1
derivadasen,1
correspondencia,1
lenguaje,4
discurso,1
oficial,1
sis,2
temáticamente,1
desvirtuado,1
manipulación,3
le,8
llamó,1
solidaridad,4
saqueo,6
denominó,1
opacidad,1
encubrimiento,1
bautizados,1
confidencia,1
lidad,2
información,3
reservada,1
protección,10
datos,2
sonales,1
apropiación,1
indebida,1
bienes,6
públicos,13
llamada,3
desincorporación,1
denominada,1
licitación,1
adjudicación,1
directa,1
falsificación,1
uno,9
factores,3
explican,1
bancarrota,3
desembocó,1
régimen,9
oli,1
gárquico,1
escepticismo,1
pala,2
bra,2
autoridades,5
terminó,3
convirtiéndose,1
repudio,1
fuerza,6
mentir,2
gobernantes,8
llega,1
total,3
agotamiento,1
credibilidad,1
situación,5
permite,2
aquilatar,1
capacidad,7
convocatoria,1
logró,1
precepto,1
robar,1
traicionar,1
otro,4
elemen,2
explica,1
derrota,1
bando,1
propuesta,3
contenida,2
embrionaria,1
proyecto,6
capaz,2
contener,1
remontar,1
desbarajuste,1
conducido,1
promesa,1
allí,3
expresada,1
simple,1
profunda,1
mexicana,4
necesitan,1
instaura,2
ruta,2
alcanzarlos,1
conjunto,6
reglas,2
explícitas,1
implícitas,1
convivencia,7
incremento,3
productividad,2
competitividad,1
tienen,6
sentido,5
sí,4
mismos,2
lograr,5
objetivo,13
superior,13
servir,2
interés,6
públi,4
co,7
intereses,7
privados,4
vigencia,1
complementada,1
so,5
cial,2
tolerancia,1
implícita,1
expresa,1
pac,2
